Game,Player.min,Player.max,Play.time,Min.age,Random.chance,Category,Description
Risk,2,6,2,10,Medium,Family,"Risk is a strategy board game run on a map of the world containing 42 territories. The object of the game is to occupy every territory on the board and in doing so, eliminate the other players. Players control armies with which they attempt to capture territories from other players, with results determined by dice rolls."
Risk,2,6,2,10,Medium,Strategy,"Risk is a strategy board game run on a map of the world containing 42 territories. The object of the game is to occupy every territory on the board and in doing so, eliminate the other players. Players control armies with which they attempt to capture territories from other players, with results determined by dice rolls."
Risk,2,6,2,10,Medium,War,"Risk is a strategy board game run on a map of the world containing 42 territories. The object of the game is to occupy every territory on the board and in doing so, eliminate the other players. Players control armies with which they attempt to capture territories from other players, with results determined by dice rolls."
Balderdash,2,6,1,12,Low,Party,"Balderdash is a board game of bluffing and trivia. The games contains several cards with real words nobody has heard of. After one of those words has been read aloud, players try to come up with definitions that at least sound plausible, because points are later awarded for every opposing player who guessed that your definition was the correct one."
Cranium,4,16,1,10,Medium,Party,"Cranium is a party board game that draws on a variety of player skills. Players work in teams to successfully complete  activities in each of four sections to win: Creative Cat, Data Head, Word Worm, and Star Performer"
Jenga,2,8,0.5,6,None,Party,"Jenga is a game of physical and mental skill, in which players take turns removing one block at a time from a tower constructed of 54 blocks. Each block removed is then balanced on top of the tower, creating a progressively taller but less stable structure. The game ends when the tower falls."
Scattergories,2,6,0.5,12,Low,Party,"Scattergories is a creative-thinking category-based party game. The objective of the 2-to-6-player game is to score points by uniquely naming objects within a set of categories, given an initial letter, within a time limit."
Taboo,4,10,0.5,12,Low,Party,"Taboo is a word guessing party game, where the objective of the game is for a player to have their partners guess the word on the player's card without using the word itself or five additional words listed on the card."
Twister,2,4,0.5,6,Medium,Party,"Twister is a game of physical skill. It is played on a large plastic mat that is spread on the floor or ground, and players must place a hand/foot on randomly determined coloured spots. A person is eliminated when they fall or when their elbow or knee touches the mat."
Agricola,1,5,2,12,Low,Strategy,"The goal of the game is to build the most well-balanced farm at the end of 14 rounds, consisting of plowed fields for crops and fenced pastures for livestock. The farm should have little fallow land and a large farmhouse built of high quality material. The player should also expand the family tending the farm from its initial two members to a maximum of five. The game is highly ranked on BoardGameGeek.com."
Cosmic Encounter,3,5,1,12,Medium,Strategy,"In Cosmic Encounter, each player is the leader of an alien race. The object of the game is to establish colonies in other players' planetary systems.  Cosmic Encounter is a dynamic and social game, with players being encouraged to interact, argue, form alliances, make deals, double-cross, and occasionally work together to protect the common good. "
Dominion,2,4,0.5,10,Medium,Strategy,"Dominion is a deck-building game.  During turns, players use their cards to perform various actions and purchase cards from a common pool of card stacks available to all players, including those that give them more actions, coins to purchase cards, and victory cards that are otherwise valueless during the game. At the end of the game the player with the highest number of victory points wins. The game has a light medieval theme, with card names that reference pre-industrial, monarchical, and feudal social structures."
Puerto Rico,2,5,1.5,12,None,Strategy,Players assume the roles of colonial governors on the island of Puerto Rico during the age of Caribbean ascendancy. The aim of the game is to amass victory points by shipping goods to the Old World or by constructing buildings. The game is highly ranked on BoardGameGeek.com.
Axis and Allies,2,5,3,12,Medium,Strategy,"Axis and Allies  depicts World War II on a grand scale, full global level. Up to five players can play on two different teams. Players have to work together with their teammates in order to coordinate offenses and turn the tide of war!"
Axis and Allies,2,5,3,12,Medium,War,"Axis and Allies  depicts World War II on a grand scale, full global level. Up to five players can play on two different teams. Players have to work together with their teammates in order to coordinate offenses and turn the tide of war!"
